,State,LGA region,Postcode
815,New South Wales,Kyogle,2474
816,New South Wales,Kyogle,2475
817,New South Wales,Kyogle,2476
820,New South Wales,Kyogle,4275
821,New South Wales,Kyogle,4285
822,New South Wales,Kyogle,4287
823,New South Wales,Kyogle,4310
833,New South Wales,Lachlan,2874
837,New South Wales,Lake Macquarie,2262
838,New South Wales,Lake Macquarie,2264
840,New South Wales,Lake Macquarie,2267
842,New South Wales,Lake Macquarie,2280
843,New South Wales,Lake Macquarie,2281
844,New South Wales,Lake Macquarie,2282
845,New South Wales,Lake Macquarie,2283
846,New South Wales,Lake Macquarie,2284
847,New South Wales,Lake Macquarie,2285
850,New South Wales,Lake Macquarie,2289
851,New South Wales,Lake Macquarie,2290
852,New South Wales,Lake Macquarie,2291
853,New South Wales,Lake Macquarie,2305
854,New South Wales,Lake Macquarie,2306
857,New South Wales,Lane Cove,2064
858,New South Wales,Lane Cove,2065
859,New South Wales,Lane Cove,2066
864,New South Wales,Leeton,2700
865,New South Wales,Leeton,2703
868,New South Wales,Leichhardt,2037
869,New South Wales,Leichhardt,2038
870,New South Wales,Leichhardt,2039
872,New South Wales,Leichhardt,2041
874,New South Wales,Leichhardt,2048
876,New South Wales,Leichhardt,2050
880,New South Wales,Lismore,2473
894,New South Wales,Lithgow,2845
897,New South Wales,Lithgow,2848
907,New South Wales,Liverpool,2174
917,New South Wales,Liverpool,2555
925,New South Wales,Liverpool,2752
926,New South Wales,Liverpool Plains,2329
929,New South Wales,Liverpool Plains,2339
937,New South Wales,Liverpool Plains,2843
941,New South Wales,Lockhart,2655
956,New South Wales,Manly,2092
957,New South Wales,Manly,2093
958,New South Wales,Manly,2094
959,New South Wales,Manly,2095
960,New South Wales,Manly,2096
961,New South Wales,Manly,2100
966,New South Wales,Marrickville,2042
967,New South Wales,Marrickville,2043
979,New South Wales,Mid-Western Regional,2328
989,New South Wales,Mid-Western Regional,2852
993,New South Wales,Moree Plains,2397
998,New South Wales,Moree Plains,2405
999,New South Wales,Moree Plains,2406
1003,New South Wales,Moree Plains,2833
1005,New South Wales,Moree Plains,4390
1006,New South Wales,Moree Plains,4494
1007,New South Wales,Moree Plains,4496
1008,New South Wales,Moree Plains,4497
1009,New South Wales,Moree Plains,4498
1010,New South Wales,Mosman,2088
1011,New South Wales,Mosman,2090
1015,New South Wales,Murray,2731
1017,New South Wales,Murray,3562
1018,New South Wales,Murray,3564
1019,New South Wales,Murray,3566
1020,New South Wales,Murray,3567
1021,New South Wales,Murray,3568
1022,New South Wales,Murray,3573
1023,New South Wales,Murray,3637
1024,New South Wales,Murray,3638
1025,New South Wales,Murray,3639
1039,New South Wales,Muswellbrook,2333
1056,New South Wales,Narrabri,2386
1088,New South Wales,Newcastle,2292
1089,New South Wales,Newcastle,2293
1090,New South Wales,Newcastle,2294
1091,New South Wales,Newcastle,2295
1092,New South Wales,Newcastle,2296
1093,New South Wales,Newcastle,2297
1094,New South Wales,Newcastle,2298
1095,New South Wales,Newcastle,2299
1096,New South Wales,Newcastle,2300
1097,New South Wales,Newcastle,2302
1098,New South Wales,Newcastle,2303
1099,New South Wales,Newcastle,2304
1101,New South Wales,Newcastle,2307
1102,New South Wales,Newcastle,2308
1105,New South Wales,North Sydney,2060
1106,New South Wales,North Sydney,2061
1107,New South Wales,North Sydney,2062
1108,New South Wales,North Sydney,2063
1111,New South Wales,North Sydney,2089
1125,New South Wales,Palerang,2609
1132,New South Wales,Palerang,2912
1147,New South Wales,Parramatta,2114
1148,New South Wales,Parramatta,2115
1149,New South Wales,Parramatta,2116
1150,New South Wales,Parramatta,2117
1161,New South Wales,Parramatta,2151
1162,New South Wales,Parramatta,2152
1172,New South Wales,Penrith,2748
1187,New South Wales,Pittwater,2101
1188,New South Wales,Pittwater,2102
1189,New South Wales,Pittwater,2103
1190,New South Wales,Pittwater,2104
1191,New South Wales,Pittwater,2105
1192,New South Wales,Pittwater,2106
1193,New South Wales,Pittwater,2107
1194,New South Wales,Pittwater,2108
1204,New South Wales,Port Macquarie-Hastings,2445
1207,New South Wales,Port Stephens,2314
1208,New South Wales,Port Stephens,2315
1209,New South Wales,Port Stephens,2316
1210,New South Wales,Port Stephens,2317
1211,New South Wales,Port Stephens,2318
1212,New South Wales,Port Stephens,2319
1219,New South Wales,Queanbeyan,2600
1221,New South Wales,Queanbeyan,2619
1225,New South Wales,Randwick,2017
1228,New South Wales,Randwick,2021
1229,New South Wales,Randwick,2022
1230,New South Wales,Randwick,2024
1231,New South Wales,Randwick,2025
1232,New South Wales,Randwick,2031
1235,New South Wales,Randwick,2034
1238,New South Wales,Randwick,2052
1268,New South Wales,Ryde,2109
1271,New South Wales,Ryde,2112
1279,New South Wales,Shellharbour,2528
1281,New South Wales,Shellharbour,2530
1283,New South Wales,Shellharbour,2574
1284,New South Wales,Shellharbour,2576
1291,New South Wales,Shoalhaven,2539
1292,New South Wales,Shoalhaven,2540
1293,New South Wales,Shoalhaven,2541
1311,New South Wales,Snowy River,2625
1319,New South Wales,Snowy River,2649
1323,New South Wales,Strathfield,2129
1340,New South Wales,Sutherland Shire,2225
1341,New South Wales,Sutherland Shire,2226
1342,New South Wales,Sutherland Shire,2227
1343,New South Wales,Sutherland Shire,2228
1344,New South Wales,Sutherland Shire,2229
1345,New South Wales,Sutherland Shire,2230
1346,New South Wales,Sutherland Shire,2231
1347,New South Wales,Sutherland Shire,2232
1348,New South Wales,Sutherland Shire,2233
1351,New South Wales,Sydney,2000
1352,New South Wales,Sydney,2006
1353,New South Wales,Sydney,2007
1354,New South Wales,Sydney,2008
1355,New South Wales,Sydney,2009
1356,New South Wales,Sydney,2010
